ccy,date,per_usd,source
COP,2025-03-04,4261.2,synthetic
COP,2025-03-05,4266.68,synthetic
COP,2025-03-06,4246.54,synthetic
COP,2025-03-07,4212.11,synthetic
COP,2025-03-10,4211.92,synthetic
COP,2025-03-11,4215.47,synthetic
COP,2025-03-12,4205.37,synthetic
COP,2025-03-13,4219.48,synthetic
COP,2025-03-14,4214.02,synthetic
COP,2025-03-17,4202.97,synthetic
COP,2025-03-18,4210.16,synthetic
COP,2025-03-19,4182.91,synthetic
COP,2025-03-20,4170.74,synthetic
COP,2025-03-21,4169.56,synthetic
COP,2025-03-24,4182.88,synthetic
COP,2025-03-25,4179.32,synthetic
COP,2025-03-26,4183.64,synthetic
COP,2025-03-27,4171.84,synthetic
COP,2025-03-28,4176.04,synthetic
COP,2025-03-31,4202.99,synthetic
COP,2025-04-01,4190.61,synthetic
COP,2025-04-02,4229.44,synthetic
COP,2025-04-03,4217.7,synthetic
COP,2025-04-04,4217.14,synthetic
COP,2025-04-07,4219.22,synthetic
COP,2025-04-08,4235.67,synthetic
COP,2025-04-09,4213.86,synthetic
COP,2025-04-10,4177.61,synthetic
COP,2025-04-11,4186.9,synthetic
COP,2025-04-14,4199.39,synthetic
COP,2025-04-15,4209.02,synthetic
COP,2025-04-16,4252.47,synthetic
COP,2025-04-17,4255.11,synthetic
COP,2025-04-18,4258.58,synthetic
COP,2025-04-21,4273.55,synthetic
COP,2025-04-22,4279.0,synthetic
COP,2025-04-23,4306.62,synthetic
COP,2025-04-24,4284.43,synthetic
COP,2025-04-25,4277.14,synthetic
COP,2025-04-28,4217.35,synthetic
COP,2025-04-29,4230.21,synthetic
COP,2025-04-30,4223.06,synthetic
COP,2025-05-01,4237.83,synthetic
COP,2025-05-02,4273.5,synthetic
COP,2025-05-05,4272.54,synthetic
COP,2025-05-06,4267.34,synthetic
COP,2025-05-07,4257.95,synthetic
COP,2025-05-08,4242.83,synthetic
COP,2025-05-09,4231.29,synthetic
COP,2025-05-12,4241.26,synthetic
COP,2025-05-13,4241.04,synthetic
COP,2025-05-14,4241.31,synthetic
COP,2025-05-15,4237.52,synthetic
COP,2025-05-16,4252.18,synthetic
COP,2025-05-19,4259.73,synthetic
COP,2025-05-20,4256.46,synthetic
COP,2025-05-21,4266.93,synthetic
COP,2025-05-22,4263.48,synthetic
COP,2025-05-23,4242.97,synthetic
COP,2025-05-26,4266.82,synthetic
COP,2025-05-27,4273.91,synthetic
COP,2025-05-28,4256.69,synthetic
COP,2025-05-29,4274.2,synthetic
COP,2025-05-30,4279.25,synthetic
COP,2025-06-02,4251.61,synthetic
COP,2025-06-03,4278.14,synthetic
COP,2025-06-04,4282.99,synthetic
COP,2025-06-05,4297.41,synthetic
COP,2025-06-06,4299.95,synthetic
COP,2025-06-09,4296.52,synthetic
COP,2025-06-10,4269.05,synthetic
COP,2025-06-11,4284.79,synthetic
COP,2025-06-12,4284.45,synthetic
COP,2025-06-13,4278.68,synthetic
COP,2025-06-16,4283.83,synthetic
COP,2025-06-17,4284.31,synthetic
COP,2025-06-18,4295.04,synthetic
COP,2025-06-19,4287.8,synthetic
COP,2025-06-20,4286.32,synthetic
COP,2025-06-23,4248.79,synthetic
COP,2025-06-24,4240.75,synthetic
COP,2025-06-25,4251.36,synthetic
COP,2025-06-26,4273.24,synthetic
COP,2025-06-27,4266.17,synthetic
COP,2025-06-30,4263.24,synthetic
COP,2025-07-01,4289.39,synthetic
COP,2025-07-02,4282.94,synthetic
COP,2025-07-03,4294.66,synthetic
COP,2025-07-04,4322.63,synthetic
COP,2025-07-07,4322.46,synthetic
COP,2025-07-08,4342.81,synthetic
